NOMBRE CIENTIFICO,NOMBRE,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE,
Brotogeris pyrrhoptera,Perico de Mejilla Gris,AVES,PSITTACIFORMES,PSITTACIDAE,Brotogeris,pyrrhoptera,
Brotogeris cyanoptera,Perico de Ala Cobalto,AVES,PSITTACIFORMES,PSITTACIDAE,Brotogeris,cyanoptera,
Hapalopsittaca pyrrhops,Loro de Cara Roja,AVES,PSITTACIFORMES,PSITTACIDAE,Hapalopsittaca,pyrrhops,
Hapalopsittaca melanotis,Loro de Ala Negra,AVES,PSITTACIFORMES,PSITTACIDAE,Hapalopsittaca,melanotis,
Pyrilia barrabandi,Loro de Mejilla Naranja,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrilia,barrabandi,
Pionus sordidus,Loro de Pico Rojo,AVES,PSITTACIFORMES,PSITTACIDAE,Pionus,sordidus,
Pionus tumultuosus,Loro Tumultuoso,AVES,PSITTACIFORMES,PSITTACIDAE,Pionus,tumultuosus,
Pionus menstruus,Loro de Cabeza Azul,AVES,PSITTACIFORMES,PSITTACIDAE,Pionus,menstruus,
Pionus chalcopterus,Loro de Ala Bronceada,AVES,PSITTACIFORMES,PSITTACIDAE,Pionus,chalcopterus,
Graydidascalus brachyurus,Loro de Cola Corta,AVES,PSITTACIFORMES,PSITTACIDAE,Graydidascalus,brachyurus,
Amazona festiva,Loro de Lomo Rojo,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,festiva,
Amazona ochrocephala,Loro de Corona Amarilla,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,ochrocephala,
Amazona aestiva,Loro de Frente Turquesa,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,aestiva,
Amazona farinosa,Loro Harinoso,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,farinosa,
Amazona amazonica,Loro de Ala Naranja,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,amazonica,
Amazona mercenarius,Loro de Nuca Escamosa,AVES,PSITTACIFORMES,PSITTACIDAE,Amazona,mercenarius,
Forpus modestus,Periquito de Pico Oscuro,AVES,PSITTACIFORMES,PSITTACIDAE,Forpus,modestus,
Forpus xanthopterygius,Periquito de Ala Azul,AVES,PSITTACIFORMES,PSITTACIDAE,Forpus,xanthopterygius,
Forpus coelestis,Periquito Esmeralda,AVES,PSITTACIFORMES,PSITTACIDAE,Forpus,coelestis,
Forpus xanthops ,Periquito de Cara Amarilla,AVES,PSITTACIFORMES,PSITTACIDAE,Forpus,xanthops ,
Pionites melanocephalus,Loro de Cabeza Negra,AVES,PSITTACIFORMES,PSITTACIDAE,Pionites,melanocephalus,
Pionites leucogaster,Loro de Vientre Blanco,AVES,PSITTACIFORMES,PSITTACIDAE,Pionites,leucogaster,
Deroptyus accipitrinus,Loro de Abanico,AVES,PSITTACIFORMES,PSITTACIDAE,Deroptyus,accipitrinus,
Pyrrhura lucianii,Perico de Bonaparte,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,lucianii,
Pyrrhura roseifrons,Perico de Frente Rosada,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,roseifrons,
Pyrrhura melanura,Perico de Cola Marrón,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,melanura,
Pyrrhura rupicola,Perico de Gorro Negro,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,rupicola,
Pyrrhura albipectus ,Perico de Cuello Blanco,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,albipectus ,
Eupsittula aurea,Cotorra de Frente Dorada,AVES,PSITTACIFORMES,PSITTACIDAE,Eupsittula,aurea,
Aratinga weddellii,Cotorra de Cabeza Oscura,AVES,PSITTACIFORMES,PSITTACIDAE,Aratinga,weddellii,
Orthopsittaca manilatus,Guacamayo de Vientre Rojo,AVES,PSITTACIFORMES,PSITTACIDAE,Orthopsittaca,manilatus,
Primolius couloni,Guacamayo de Cabeza Azul,AVES,PSITTACIFORMES,PSITTACIDAE,Primolius,couloni,
Ara ararauna,Guacamayo Azul y Amarillo,AVES,PSITTACIFORMES,PSITTACIDAE,Ara,ararauna,
Ara militaris,Guacamayo Militar,AVES,PSITTACIFORMES,PSITTACIDAE,Ara,militaris,
Ara macao,Guacamayo Escarlata,AVES,PSITTACIFORMES,PSITTACIDAE,Ara,macao,
Ara chloropterus,Guacamayo Rojo y Verde,AVES,PSITTACIFORMES,PSITTACIDAE,Ara,chloropterus,
Ara severus,Guacamayo de Frente Castaña,AVES,PSITTACIFORMES,PSITTACIDAE,Ara,severus,
Leptosittaca branickii,Perico de Mejilla Dorada,AVES,PSITTACIFORMES,PSITTACIDAE,Leptosittaca,branickii,
Diopsittaca nobilis,Guacamayo Enano,AVES,PSITTACIFORMES,PSITTACIDAE,Diopsittaca,nobilis,
Psittacara wagleri,Cotorra de Frente Escarlata,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacara,wagleri,
Psittacara mitratus,Cotorra Mitrada,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacara,mitratus,cuzco
Psittacara erythrogenys,Cotorra de Cabeza Roja,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacara,erythrogenys,
Psittacara leucophthalmus,Cotorra de Ojo Blanco,AVES,PSITTACIFORMES,PSITTACIDAE,Psittacara,leucophthalmus,
Euchrepomis callinota,Hormiguerito de Lomo Rufo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Euchrepomis,callinota,
Euchrepomis humeralis,Hormiguerito de Hombro Castaño,AVES,PASSERIFORMES,THAMNOPHILIDAE,Euchrepomis,humeralis,
Euchrepomis sharpei,Hormiguerito de Lomo Amarillo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Euchrepomis,sharpei,
Euchrepomis spodioptila ,Hormiguerito de Ala Ceniza,AVES,PASSERIFORMES,THAMNOPHILIDAE,Euchrepomis,spodioptila ,
Cymbilaimus lineatus,Batará Lineado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Cymbilaimus,lineatus,
Cymbilaimus sanctaemariae,Batará de Bambú,AVES,PASSERIFORMES,THAMNOPHILIDAE,Cymbilaimus,sanctaemariae,
Frederickena unduliger,Batará Ondulado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Frederickena,unduliger,
Frederickena fulva,Batará Leonado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Frederickena,fulva,
Taraba major,Batará Grande,AVES,PASSERIFORMES,THAMNOPHILIDAE,Taraba,major,
Sakesphorus canadensis,Batará de Cresta Negra,AVES,PASSERIFORMES,THAMNOPHILIDAE,Sakesphorus,canadensis,
Thamnophilus doliatus,Batará Barrado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,doliatus,
Thamnophilus ruficapillus,Batará de Gorro Rufo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,ruficapillus,
Thamnophilus zarumae,Batará de Chapman,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,zarumae,
Thamnophilus tenuepunctatus,Batará Listado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,tenuepunctatus,
Thamnophilus palliatus,Batará de Dorso Castaño,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,palliatus,
Thamnophilus bernardi,Batará Acollarado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,bernardi,
Thamnophilus atrinucha ,Batará de Corona Negra,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,atrinucha ,
Thamnophilus schistaceus,Batará de Ala Llana,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,schistaceus,
Thamnophilus murinus,Batará Murino,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,murinus,
Thamnophilus cryptoleucus,Batará de Castelnau,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,cryptoleucus,
Thamnophilus punctatus,Batará-Pizarroso Norteño,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,punctatus,
Thamnophilus caerulescens,Batará Variable,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,caerulescens,
Thamnophilus unicolor,Batará Unicolor,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,unicolor,
Thamnophilus aethiops,Batará de Hombro Blanco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,aethiops,
Thamnophilus aroyae,Batará de Altura,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,aroyae,
Thamnophilus amazonicus,Batará Amazónico,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,amazonicus,
Thamnophilus divisorius,Batará de Acre,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnophilus,divisorius,
Megastictus margaritatus,Batará Perlado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Megastictus,margaritatus,
Neoctantes niger,Arbustero Negro,AVES,PASSERIFORMES,THAMNOPHILIDAE,Neoctantes,niger,
Thamnistes anabatinus,Batará Rojizo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnistes,anabatinus,
Dysithamnus mentalis,Batarito de Cabeza Gris,AVES,PASSERIFORMES,THAMNOPHILIDAE,Dysithamnus,mentalis,
Dysithamnus occidentalis ,Batarito Bicolor,AVES,PASSERIFORMES,THAMNOPHILIDAE,Dysithamnus,occidentalis ,
Dysithamnus leucostictus,Batarito Rayado de Blanco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Dysithamnus,leucostictus,
Thamnomanes ardesiacus,Batará de Garganta Oscura,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnomanes,ardesiacus,
Thamnomanes saturninus,Batará Saturnino,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnomanes,saturninus,
Thamnomanes caesius,Batará Cinéreo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnomanes,caesius,
Thamnomanes schistogynus,Batará Azul-Acerado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Thamnomanes,schistogynus,
Isleria hauxwelli,Hormiguerito de Garganta Llana,AVES,PASSERIFORMES,THAMNOPHILIDAE,Isleria,hauxwelli,
Pygiptila stellaris,Batará de Ala Moteada,AVES,PASSERIFORMES,THAMNOPHILIDAE,Pygiptila,stellaris,
Epinecrophylla leucophthalma,Hormiguerito de Ojo Blanco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Epinecrophylla,leucophthalma,
Epinecrophylla haematonota,Hormiguerito de Dorso Rufo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Epinecrophylla,haematonota,
Epinecrophylla spodionota,Hormiguerito Submontano,AVES,PASSERIFORMES,THAMNOPHILIDAE,Epinecrophylla,spodionota,
Epinecrophylla ornata,Hormiguerito Adornado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Epinecrophylla,ornata,
Epinecrophylla erythrura,Hormiguerito de Cola Rufa,AVES,PASSERIFORMES,THAMNOPHILIDAE,Epinecrophylla,erythrura,
Myrmotherula brachyura,Hormiguerito Pigmeo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,brachyura,
Myrmotherula ignota,Hormiguerito Bigotudo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,ignota,
Myrmotherula sclateri,Hormiguerito de Sclater,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,sclateri,
Myrmotherula multostriata,Hormiguerito-Rayado Amazónico,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,multostriata,
Myrmotherula cherriei,Hormiguerito de Cherrie,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,cherriei,
Myrmotherula longicauda,Hormiguerito de Pecho Listado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,longicauda,
Myrmotherula axillaris,Hormiguerito de Flanco Blanco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,axillaris,
Myrmotherula schisticolor,Hormiguerito Pizarroso,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,schisticolor,
Myrmotherula sunensis,Hormiguerito del Suno,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,sunensis,
Myrmotherula longipennis,Hormiguerito de Ala Larga,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,longipennis,
Myrmotherula iheringi,Hormiguerito de Ihering,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,iheringi,
Myrmotherula grisea,Hormiguerito Cenizo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,grisea,
Myrmotherula menetriesii,Hormiguerito Gris,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,menetriesii,
Myrmotherula assimilis,Hormiguerito Plomizo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula,assimilis,
Dichrozona cincta,Hormiguerito Bandeado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Dichrozona,cincta,
Herpsilochmus parkeri ,Hormiguerito de Garganta Ceniza,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,parkeri ,
Herpsilochmus motacilloides ,Hormiguerito de Vientre Cremoso,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,motacilloides ,
Herpsilochmus dugandi,Hormiguerito de Dugand,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,dugandi,
Herpsilochmus gentryi,Hormiguerito Antiguo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,gentryi,
Herpsilochmus axillaris,Hormiguerito de Pecho Amarillo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,axillaris,
Herpsilochmus rufimarginatus,Hormiguerito de Ala Rufa,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,rufimarginatus,
Microrhopias quixensis,Hormiguerito de Ala Punteada,AVES,PASSERIFORMES,THAMNOPHILIDAE,Microrhopias,quixensis,
Formicivora grisea,Hormiguerito de Pecho Negro,AVES,PASSERIFORMES,THAMNOPHILIDAE,Formicivora,grisea,
Formicivora rufa,Hormiguerito de Dorso Rojizo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Formicivora,rufa,
Drymophila devillei,Hormiguero Estriado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Drymophila,devillei,
Drymophila striaticeps,Hormiguero de Cabeza Rayada,AVES,PASSERIFORMES,THAMNOPHILIDAE,Drymophila,striaticeps,
Hypocnemis peruviana,Hormiguero Peruano,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hypocnemis,peruviana,
Hypocnemis subflava,Hormiguero de Pecho Amarillo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hypocnemis,subflava,
Hypocnemis hypoxantha,Hormiguero de Ceja Amarilla,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hypocnemis,hypoxantha,
Cercomacroides serva,Hormiguero Negro,AVES,PASSERIFORMES,THAMNOPHILIDAE,Cercomacroides,serva,
Cercomacroides nigrescens,Hormiguero Negruzco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Cercomacroides,nigrescens,
Cercomacroides fuscicauda,Hormiguero Ribereño,AVES,PASSERIFORMES,THAMNOPHILIDAE,Cercomacroides,fuscicauda,
Cercomacra manu,Hormiguero del Manu,AVES,PASSERIFORMES,THAMNOPHILIDAE,Cercomacra,manu,
Cercomacra cinerascens,Hormiguero Gris,AVES,PASSERIFORMES,THAMNOPHILIDAE,Cercomacra,cinerascens,
Pyriglena maura,Ojo-de-Fuego Occidental,AVES,PASSERIFORMES,THAMNOPHILIDAE,Pyriglena,maura,
Myrmoborus leucophrys,Hormiguero de Ceja Blanca,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmoborus,leucophrys,
Myrmoborus lugubris,Hormiguero de Pecho Cenizo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmoborus,lugubris,
Myrmoborus myotherinus,Hormiguero de Cara Negra,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmoborus,myotherinus,
Myrmoborus melanurus,Hormiguero de Cola Negra,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmoborus,melanurus,
Myrmoborus lophotes,Hormiguero de Líneas Blancas,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmoborus,lophotes,
Hypocnemoides melanopogon,Hormiguero de Barbilla Negra,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hypocnemoides,melanopogon,
Hypocnemoides maculicauda,Hormiguero de Cola Bandeada,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hypocnemoides,maculicauda,
Myrmochanes hemileucus,Hormiguero Negro y Blanco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmochanes,hemileucus,
Sclateria naevia,Hormiguero Plateado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Sclateria,naevia,
Percnostola rufifrons,Hormiguero de Cabeza Negra,AVES,PASSERIFORMES,THAMNOPHILIDAE,Percnostola,rufifrons,
Percnostola arenarum ,Hormiguero de Allpahuayo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Percnostola,arenarum ,
Myrmelastes schistaceus,Hormiguero Pizarroso,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmelastes,schistaceus,
Myrmelastes hyperythrus,Hormiguero Plomizo,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmelastes,hyperythrus,
Myrmelastes leucostigma,Hormiguero de Ala Moteada,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmelastes,leucostigma,
Myrmelastes humaythae ,Hormiguero de Humaita,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmelastes,humaythae ,
Myrmelastes brunneiceps,Hormiguero de Cabeza Pardusca,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmelastes,brunneiceps,
Ampelornis griseiceps,Hormiguero de Cabeza Gris,AVES,PASSERIFORMES,THAMNOPHILIDAE,Ampelornis,griseiceps,
Sciaphylax hemimelaena,Hormiguero de Cola Castaña,AVES,PASSERIFORMES,THAMNOPHILIDAE,Sciaphylax,hemimelaena,
Sciaphylax castanea,Hormiguero de Zimmer,AVES,PASSERIFORMES,THAMNOPHILIDAE,Sciaphylax,castanea,
Myrmoderus eowilsoni ,Hormiguero de la Cordillera Azul,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmoderus,eowilsoni ,
Akletos melanoceps,Hormiguero de Hombro Blanco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Akletos,melanoceps,
Akletos goeldii,Hormiguero de Goeldi,AVES,PASSERIFORMES,THAMNOPHILIDAE,Akletos,goeldii,
Hafferia fortis,Hormiguero Tiznado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hafferia,fortis,
Myrmophylax atrothorax,Hormiguero de Garganta Negra,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmophylax,atrothorax,
Myrmornis torquata,Hormiguero de Ala Bandeada,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmornis,torquata,
Pithys albifrons,Hormiguero de Plumón Blanco,AVES,PASSERIFORMES,THAMNOPHILIDAE,Pithys,albifrons,
Pithys castaneus ,Hormiguero de Mascara Blanca,AVES,PASSERIFORMES,THAMNOPHILIDAE,Pithys,castaneus ,
Gymnopithys leucaspis,Hormiguero de Mejilla Blanca,AVES,PASSERIFORMES,THAMNOPHILIDAE,Gymnopithys,leucaspis,
Oneillornis salvini,Hormiguero de Garganta Blanca,AVES,PASSERIFORMES,THAMNOPHILIDAE,Oneillornis,salvini,
Oneillornis lunulatus,Hormiguero Lunado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Oneillornis,lunulatus,
Rhegmatorhina melanosticta,Hormiguero de Cresta Canosa,AVES,PASSERIFORMES,THAMNOPHILIDAE,Rhegmatorhina,melanosticta,
Hylophylax naevius,Hormiguero de Dorso Moteado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hylophylax,naevius,
Hylophylax punctulatus,Hormiguero de Dorso Punteado,AVES,PASSERIFORMES,THAMNOPHILIDAE,Hylophylax,punctulatus,
Willisornis poecilinotus,Hormiguero de Dorso Escamoso,AVES,PASSERIFORMES,THAMNOPHILIDAE,Willisornis,poecilinotus,
Phlegopsis nigromaculata,Ojo-Pelado Moteado de Negro,AVES,PASSERIFORMES,THAMNOPHILIDAE,Phlegopsis,nigromaculata,
Phlegopsis erythroptera,Ojo-Pelado de Ala Rojiza,AVES,PASSERIFORMES,THAMNOPHILIDAE,Phlegopsis,erythroptera,
Melanopareia maranonica,Pecho-de-Luna del Marañón,AVES,PASSERIFORMES,MELANOPAREIIDAE,Melanopareia,maranonica,
Melanopareia elegans,Pecho-de-Luna Elegante,AVES,PASSERIFORMES,MELANOPAREIIDAE,Melanopareia,elegans,
Conopophaga aurita,Jejenero de Faja Castaña,AVES,PASSERIFORMES,CONOPOPHAGIDAE,Conopophaga,aurita,
Conopophaga peruviana,Jejenero de Garganta Ceniza,AVES,PASSERIFORMES,CONOPOPHAGIDAE,Conopophaga,peruviana,
Conopophaga castaneiceps,Jejenero de Corona Castaña,AVES,PASSERIFORMES,CONOPOPHAGIDAE,Conopophaga,castaneiceps,
Conopophaga ardesiaca,Jejenero Pizarroso,AVES,PASSERIFORMES,CONOPOPHAGIDAE,Conopophaga,ardesiaca,
Grallaria squamigera,Tororoi Ondulado,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,squamigera,
Grallaria varia,Tororoi Variegado,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,varia,
Grallaria guatimalensis,Tororoi Escamoso,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,guatimalensis,
Grallaria haplonota,Tororoi de Dorso Llano,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,haplonota,
Grallaria dignissima,Tororoi Ocre Listado,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,dignissima,
Grallaria eludens,Tororoi Evasivo,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,eludens,
Grallaria ruficapilla,Tororoi de Corona Castaña,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,ruficapilla,
Grallaria watkinsi,Tororoi de Watkins,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,watkinsi,
Grallaria andicolus,Tororoi de Cabeza Listada,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,andicolus,
Grallaria ridgelyi ,Tororoi Jocotoco,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,ridgelyi ,
Grallaria nuchalis,Tororoi de Nuca Castaña,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,nuchalis,
Grallaria carrikeri ,Tororoi de Pico Pálido,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,carrikeri ,
Grallaria albigula,Tororoi de Garganta Blanca,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,albigula,
Grallaria hypoleuca,Tororoi de Vientre Blanco,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,hypoleuca,
Grallaria przewalskii ,Tororoi Rojizo,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,przewalskii ,
Grallaria capitalis ,Tororoi Bayo,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,capitalis ,
Grallaria erythroleuca ,Tororoi Rojo y Blanco,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,erythroleuca ,
Grallaria rufula,Tororoi Rufo,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,rufula,
Grallaria blakei ,Tororoi Castaño,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,blakei ,
Grallaria quitensis,Tororoi Leonado,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,quitensis,
Grallaria erythrotis,Tororoi de Cara Rufa,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaria,erythrotis,
Hylopezus macularius,Tororoi Moteado,AVES,PASSERIFORMES,GRALLARIIDAE,Hylopezus,macularius,
Myrmothera fulviventris,Tororoi de Lores Blancos,AVES,PASSERIFORMES,GRALLARIIDAE,Myrmothera,fulviventris,
Myrmothera berlepschi,Tororoi Amazónico,AVES,PASSERIFORMES,GRALLARIIDAE,Myrmothera,berlepschi,
Myrmothera campanisona,Tororoi Campanero,AVES,PASSERIFORMES,GRALLARIIDAE,Myrmothera,campanisona,
Grallaricula flavirostris,Tororoi de Pecho Ocráceo,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaricula,flavirostris,
Grallaricula leymebambae,Tororoi de Leymebamba,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaricula,leymebambae,
Grallaricula peruviana,Tororoi Peruano,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaricula,peruviana,
Grallaricula ochraceifrons ,Tororoi de Frente Ocrácea,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaricula,ochraceifrons ,
Grallaricula nana,Tororoi de Corona Pizarrosa,AVES,PASSERIFORMES,GRALLARIIDAE,Grallaricula,nana,
Liosceles thoracicus,Tapaculo de Faja Rojiza,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Liosceles,thoracicus,
Acropternis orthonyx,Tapaculo Ocelado,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Acropternis,orthonyx,
Myornis senilis,Tapaculo Cenizo,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Myornis,senilis,
Scytalopus latrans,Tapaculo Negruzco,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,latrans,
Scytalopus unicolor ,Tapaculo Unicolor,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,unicolor ,
Scytalopus parvirostris,Tapaculo Trinador,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,parvirostris,
Scytalopus intermedius ,Tapaculo de Utcubamba,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,intermedius ,
Scytalopus macropus ,Tapaculo de Pata Grande,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,macropus ,
Scytalopus micropterus,Tapaculo de Cola Larga,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,micropterus,
Scytalopus femoralis ,Tapaculo de Subcaudales Rufas,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,femoralis ,
Scytalopus atratus,Tapaculo de Corona Blanca,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,atratus,
Scytalopus bolivianus,Tapaculo Boliviano,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,bolivianus,
Scytalopus parkeri,Tapaculo de Chusquea,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,parkeri,
Scytalopus altirostris ,Tapaculo de Neblina,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,altirostris ,
Scytalopus frankeae ,Tapaculo de Jalca,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,frankeae ,
Scytalopus krabbei ,Tapaculo de Ala Blanca,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,krabbei ,
Scytalopus affinis ,Tapaculo de Ancash,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,affinis ,
Scytalopus acutirostris ,Tapaculo de Tschudi,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,acutirostris ,
Scytalopus urubambae ,Tapaculo de Vilcabamba,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,urubambae ,
Scytalopus simonsi,Tapaculo de la Puna,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,simonsi,
Scytalopus androstictus,Tapaculo de Loja,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,androstictus,
