NRO,NOMBRE,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE
71,Mapache,Mamífero,Carnivora,Procyonidae,Procyon ,Procyon cancrivorus
72,Carachupa,Mamífero,Cingulata,Chlamyphoridae,Cabassous,Cabassous unicintus
73,Zorrito de rio,Mamífero,Didelphimorphia,Didelphidae,Chironectes,Chironectes minimus
74,Marmosa colorada,Mamífero,Didelphimorphia,Didelphidae,Marmosa,Marmosa rubra
75,Gato colocolo,Mamífero,Carnivora,Felidae,Leopardus,Leopardus colocolo
76,Perro selvatico,Mamífero,Carnivora,Canidae,Atelocynus,Atelocynus microtis
77,Sajino,Mamífero,Artiodactyla,Taysassuidae,Pecari,Pecari tajacu
78,Comadrejita marsupial palida,Mamífero,Didelphimorphia,Didelphidae,Marmosa,Marmosops cf impavidus
79,Zarigüeya andina de orejas blancas,Mamífero,Didelphimorphia,Didelphidae,Didelphis,Didelphis pernigra
80,"Comadreja, tolompeo, achocalla",Mamífero,Carnivora,Mustelidae,Mustela,Mustela frenata
81,Raton montaraz dorado,Mamífero,Rodentia,Cricetidae,Thomasomys,Thomasomys aureus aureus
82,Raton montaraz delicado,Mamífero,Rodentia,Cricetidae,Thomasomys,Thomasomys gracilis gracilis
83,Raton arrozalero de cola larga,Mamífero,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys longicaudatus
84,Ratón arrozalero destructor,Mamífero,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys destructor
85,Ratón campestre montañés ,Mamífero,Rodentia,Cricetidae,Akodon,Akodon orophilus
86,Ratón campestre de bosque montano ,Mamífero,Rodentia,Cricetidae,Akodon,Akodon torques
87,Ratón campestre de vientre pizarra,Mamífero,Rodentia,Cricetidae,Akodon,Akodon surdus
88,Ratón campestre moreno ,Mamífero,Rodentia,Cricetidae,Akodon,Akodon subfuscus
89,Musaraña marsupial incaica,Mamífero,Paucituberculata,Caenolestidae,Lestoros,Lestoros inca
90,Murciélago longirostro sin cola,Mamífero,Chiroptera,Phyllostomidae,Anoura,Anoura geoffroyi
91,Murciélago longirostro menor,Mamífero,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer
92,Murcielago frutero colicorto,Mamífero,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda
93,Murcielago frutero comun,Mamífero,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata
94,Serafin,Mamífero,Pilosa,Cyclopedidae,Cyclopes,Cyclopes didactylus
95,Pichico,Mamífero,Primates,Callitrichidae,Saguinus,Saguinus mystax
96,Saki gris,Mamífero,Primates,Petheciidae,Pithecia,Pithecia irrorata
97,Punchana,Mamífero,Rodentia,Dasyproctidae,Myoprocta,Myoprocta pratti
98,Machetero,Mamífero,Rodentia,Dinomyidae,Dinomys,Dinomys branickii
99,Rata,Mamífero,Rodentia,Echimidae,Pattonomys,Pattonomys occassius
100,Ardilla,Mamífero,Rodentia,Sciuridae,Sciurus,Sciurus ignitus
